Word	Mystery	Romance	Short	Sci	Family	Horror	Thriller	Sport	Crime	Drama	Fantasy	Western	Animation	Music	Adventure	Action	Comedy	Documentary	Musical	Biography	History
abandoned	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
abduct	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
abducted	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
abilities	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
ability	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
abraham	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
absolute	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
absurd	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
accident	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
accidentally	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0
acclaimed	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
accused	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
achieve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
achieving	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
across	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
actions	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
activities	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
actor	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
acts	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
actual	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
actually	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
adam	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
addict	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
adopt	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
adores	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
adult	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
adventure	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
advice	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
advises	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
advocate	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
affair	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
affected	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
afghanistan	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
aficionado	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
afraid	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
africa	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
aftershocks	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aged	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
agency	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0
agent	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	3	0	0	0	0	0
agents	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ago	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
aided	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
air	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
al	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
alcoholic	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
alex	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
alexei	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alice	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
alien	1	0	0	2	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0
aliens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
alison	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0
alive	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
allow	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ally	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
almost	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
alone	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0
alpha	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
also	0	1	0	0	0	1	0	0	1	1	2	0	1	0	2	1	0	0	0	0	0
alter	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
altering	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
although	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	0	0
ambassador	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ambitions	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ambitious	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
amendment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
