From,Name,Relationship_Type,Rel_value,To,Name
1,tt1,Similar to,0.75,2,tt2
1,tt1,Similar to,0.23,3,tt3
1,tt1,Similar to,0.23,4,tt4
1,tt1,Similar to,0.14,5,tt5
1,tt1,Similar to,0.09,6,tt6
1,tt1,Similar to,0.39,7,tt7
1,tt1,Similar to,0.93,8,tt8
1,tt1,Similar to,0.03,9,tt9
1,tt1,Similar to,0.55,10,tt10
1,tt1,Similar to,0.01,11,tt11
1,tt1,Similar to,0.35,12,tt12
1,tt1,Similar to,0.87,13,tt13
1,tt1,Similar to,0.88,14,tt14
1,tt1,Similar to,0.29,15,tt15
1,tt1,Similar to,0.95,16,tt16
1,tt1,Similar to,0.83,17,tt17
1,tt1,Similar to,0.05,18,tt18
1,tt1,Similar to,0.49,19,tt19
1,tt1,Similar to,0.02,20,tt20
1,tt1,Similar to,0.9,21,tt21
1,tt1,Similar to,0.34,22,tt22
1,tt1,Similar to,0.58,23,tt23
1,tt1,Similar to,0.4,24,tt24
1,tt1,Similar to,0.47,25,tt25
1,tt1,Similar to,0.13,26,tt26
1,tt1,Similar to,0.45,27,tt27
1,tt1,Similar to,0.03,28,tt28
1,tt1,Similar to,0.72,29,tt29
1,tt1,Similar to,0.38,30,tt30
1,tt1,Similar to,0.45,31,tt31
1,tt1,Similar to,0.02,32,tt32
1,tt1,Similar to,0.96,33,tt33
1,tt1,Similar to,0.88,34,tt34
1,tt1,Similar to,0.18,35,tt35
1,tt1,Similar to,0.14,36,tt36
1,tt1,Similar to,0.26,37,tt37
1,tt1,Similar to,0.4,38,tt38
1,tt1,Similar to,0.24,39,tt39
1,tt1,Similar to,0.27,40,tt40
1,tt1,Similar to,0.53,41,tt41
1,tt1,Similar to,0.79,42,tt42
1,tt1,Similar to,0.08,43,tt43
1,tt1,Similar to,0.32,44,tt44
1,tt1,Similar to,0.01,45,tt45
1,tt1,Similar to,0.85,46,tt46
1,tt1,Similar to,0.34,47,tt47
1,tt1,Similar to,0.96,48,tt48
1,tt1,Similar to,0.17,49,tt49
1,tt1,Similar to,0.4,50,tt50
1,tt1,Similar to,0.76,51,tt51
1,tt1,Similar to,0.86,52,tt52
1,tt1,Similar to,0.6,53,tt53
1,tt1,Similar to,0.83,54,tt54
1,tt1,Similar to,0.81,55,tt55
1,tt1,Similar to,0.39,56,tt56
1,tt1,Similar to,0.67,57,tt57
1,tt1,Similar to,0.61,58,tt58
1,tt1,Similar to,0.37,59,tt59
1,tt1,Similar to,0.08,60,tt60
1,tt1,Similar to,0.58,61,tt61
1,tt1,Similar to,0.18,62,tt62
1,tt1,Similar to,0.96,63,tt63
1,tt1,Similar to,0.47,64,tt64
1,tt1,Similar to,0.65,65,tt65
1,tt1,Similar to,0.46,66,tt66
1,tt1,Similar to,0.67,67,tt67
1,tt1,Similar to,0.27,68,tt68
1,tt1,Similar to,0.86,69,tt69
1,tt1,Similar to,0.09,70,tt70
1,tt1,Similar to,0.5,71,tt71
1,tt1,Similar to,0.05,72,tt72
1,tt1,Similar to,0.65,73,tt73
1,tt1,Similar to,0.32,74,tt74
1,tt1,Similar to,0.39,75,tt75
1,tt1,Similar to,0.2,76,tt76
1,tt1,Similar to,0.44,77,tt77
1,tt1,Similar to,1,78,tt78
1,tt1,Similar to,0.64,79,tt79
1,tt1,Similar to,0.96,80,tt80
1,tt1,Similar to,0.87,81,tt81
1,tt1,Similar to,0.43,82,tt82
1,tt1,Similar to,0.98,83,tt83
1,tt1,Similar to,0.4,84,tt84
1,tt1,Similar to,0.2,85,tt85
1,tt1,Similar to,0.12,86,tt86
1,tt1,Similar to,0.97,87,tt87
1,tt1,Similar to,0.96,88,tt88
1,tt1,Similar to,0.37,89,tt89
1,tt1,Similar to,0.95,90,tt90
1,tt1,Similar to,0.58,91,tt91
1,tt1,Similar to,0.85,92,tt92
1,tt1,Similar to,0.66,93,tt93
1,tt1,Similar to,0.73,94,tt94
1,tt1,Similar to,0.07,95,tt95
1,tt1,Similar to,0.6,96,tt96
1,tt1,Similar to,0.86,97,tt97
1,tt1,Similar to,0.58,98,tt98
1,tt1,Similar to,0.12,99,tt99
1,tt1,Similar to,0.55,100,tt100
10,tt10,Similar to,0.55,11,tt11
10,tt10,Similar to,0.97,12,tt12
10,tt10,Similar to,0.41,13,tt13
10,tt10,Similar to,0.73,14,tt14
10,tt10,Similar to,0.11,15,tt15
10,tt10,Similar to,0.64,16,tt16
10,tt10,Similar to,0.74,17,tt17
10,tt10,Similar to,0.44,18,tt18
10,tt10,Similar to,0.67,19,tt19
10,tt10,Similar to,0.95,20,tt20
10,tt10,Similar to,0.11,21,tt21
10,tt10,Similar to,0.69,22,tt22
10,tt10,Similar to,0.08,23,tt23
10,tt10,Similar to,1,24,tt24
10,tt10,Similar to,0.92,25,tt25
10,tt10,Similar to,0.63,26,tt26
10,tt10,Similar to,0.06,27,tt27
10,tt10,Similar to,0.4,28,tt28
10,tt10,Similar to,0.42,29,tt29
10,tt10,Similar to,0.89,30,tt30
10,tt10,Similar to,0.39,31,tt31
10,tt10,Similar to,0,32,tt32
10,tt10,Similar to,0.86,33,tt33
10,tt10,Similar to,0.74,34,tt34
10,tt10,Similar to,0.78,35,tt35
10,tt10,Similar to,0.24,36,tt36
10,tt10,Similar to,0.44,37,tt37
10,tt10,Similar to,0.12,38,tt38
10,tt10,Similar to,0.13,39,tt39
10,tt10,Similar to,0.49,40,tt40
10,tt10,Similar to,0.95,41,tt41
10,tt10,Similar to,0.63,42,tt42
10,tt10,Similar to,0.83,43,tt43
10,tt10,Similar to,0.28,44,tt44
10,tt10,Similar to,0.51,45,tt45
10,tt10,Similar to,0.21,46,tt46
10,tt10,Similar to,0.96,47,tt47
10,tt10,Similar to,0.21,48,tt48
10,tt10,Similar to,0.79,49,tt49
10,tt10,Similar to,0.05,50,tt50
10,tt10,Similar to,0.82,51,tt51
10,tt10,Similar to,0.91,52,tt52
10,tt10,Similar to,0.18,53,tt53
10,tt10,Similar to,0.45,54,tt54
10,tt10,Similar to,0.96,55,tt55
10,tt10,Similar to,0.22,56,tt56
10,tt10,Similar to,0.76,57,tt57
10,tt10,Similar to,0.67,58,tt58
10,tt10,Similar to,0.67,59,tt59
10,tt10,Similar to,0.72,60,tt60
10,tt10,Similar to,0.14,61,tt61
10,tt10,Similar to,0.66,62,tt62
10,tt10,Similar to,0.02,63,tt63
10,tt10,Similar to,0.55,64,tt64
10,tt10,Similar to,0.24,65,tt65
10,tt10,Similar to,0.76,66,tt66
10,tt10,Similar to,0.78,67,tt67
10,tt10,Similar to,0.11,68,tt68
10,tt10,Similar to,0.15,69,tt69
10,tt10,Similar to,0.35,70,tt70
10,tt10,Similar to,0.13,71,tt71
10,tt10,Similar to,0.65,72,tt72
10,tt10,Similar to,0.33,73,tt73
10,tt10,Similar to,0.29,74,tt74
10,tt10,Similar to,1,75,tt75
10,tt10,Similar to,0.84,76,tt76
10,tt10,Similar to,0.33,77,tt77
10,tt10,Similar to,0.32,78,tt78
10,tt10,Similar to,0.41,79,tt79
10,tt10,Similar to,0.54,80,tt80
10,tt10,Similar to,0.75,81,tt81
10,tt10,Similar to,0.65,82,tt82
10,tt10,Similar to,0.4,83,tt83
10,tt10,Similar to,0.91,84,tt84
10,tt10,Similar to,0.75,85,tt85
10,tt10,Similar to,0.74,86,tt86
10,tt10,Similar to,0.02,87,tt87
10,tt10,Similar to,0.25,88,tt88
10,tt10,Similar to,0.95,89,tt89
10,tt10,Similar to,0.39,90,tt90
10,tt10,Similar to,0.73,91,tt91
10,tt10,Similar to,0.34,92,tt92
10,tt10,Similar to,0,93,tt93
10,tt10,Similar to,0.17,94,tt94
10,tt10,Similar to,0.72,95,tt95
10,tt10,Similar to,0.47,96,tt96
10,tt10,Similar to,0.01,97,tt97
10,tt10,Similar to,0.4,98,tt98
10,tt10,Similar to,0.41,99,tt99
10,tt10,Similar to,0.86,100,tt100
11,tt11,Similar to,0.77,12,tt12
11,tt11,Similar to,0.08,13,tt13
11,tt11,Similar to,0.68,14,tt14
11,tt11,Similar to,0.31,15,tt15
11,tt11,Similar to,0.14,16,tt16
11,tt11,Similar to,0.35,17,tt17
11,tt11,Similar to,0.3,18,tt18
11,tt11,Similar to,0,19,tt19
11,tt11,Similar to,0.96,20,tt20
11,tt11,Similar to,0.78,21,tt21
11,tt11,Similar to,0.06,22,tt22
11,tt11,Similar to,0.81,23,tt23
11,tt11,Similar to,0.56,24,tt24
11,tt11,Similar to,0.36,25,tt25
11,tt11,Similar to,0.53,26,tt26
11,tt11,Similar to,0.64,27,tt27
11,tt11,Similar to,0.1,28,tt28
11,tt11,Similar to,0.23,29,tt29
11,tt11,Similar to,0.56,30,tt30
11,tt11,Similar to,0.59,31,tt31
11,tt11,Similar to,0,32,tt32
11,tt11,Similar to,0.3,33,tt33
11,tt11,Similar to,0.8,34,tt34
11,tt11,Similar to,0.99,35,tt35
11,tt11,Similar to,0.91,36,tt36
11,tt11,Similar to,0.77,37,tt37
11,tt11,Similar to,0.46,38,tt38
11,tt11,Similar to,0.56,39,tt39
11,tt11,Similar to,0.8,40,tt40
11,tt11,Similar to,0.43,41,tt41
11,tt11,Similar to,0.17,42,tt42
11,tt11,Similar to,0.95,43,tt43
11,tt11,Similar to,0.97,44,tt44
11,tt11,Similar to,0.81,45,tt45
11,tt11,Similar to,0.27,46,tt46
11,tt11,Similar to,0.37,47,tt47
11,tt11,Similar to,0.69,48,tt48
11,tt11,Similar to,0.77,49,tt49
11,tt11,Similar to,0.54,50,tt50
11,tt11,Similar to,0.61,51,tt51
11,tt11,Similar to,0.54,52,tt52
11,tt11,Similar to,0.8,53,tt53
11,tt11,Similar to,0.64,54,tt54
11,tt11,Similar to,0.45,55,tt55
11,tt11,Similar to,0.57,56,tt56
11,tt11,Similar to,0.62,57,tt57
11,tt11,Similar to,0.18,58,tt58
11,tt11,Similar to,0.14,59,tt59
11,tt11,Similar to,0.42,60,tt60
11,tt11,Similar to,0.89,61,tt61
11,tt11,Similar to,0.62,62,tt62
11,tt11,Similar to,0.22,63,tt63
11,tt11,Similar to,0.53,64,tt64
11,tt11,Similar to,0.89,65,tt65
11,tt11,Similar to,0.2,66,tt66
11,tt11,Similar to,0.8,67,tt67
11,tt11,Similar to,0.81,68,tt68
11,tt11,Similar to,0.03,69,tt69
11,tt11,Similar to,0.09,70,tt70
11,tt11,Similar to,0.75,71,tt71
11,tt11,Similar to,0.2,72,tt72
11,tt11,Similar to,0.81,73,tt73
11,tt11,Similar to,0.2,74,tt74
11,tt11,Similar to,0.06,75,tt75
11,tt11,Similar to,0.21,76,tt76
11,tt11,Similar to,0.93,77,tt77
11,tt11,Similar to,0.66,78,tt78
11,tt11,Similar to,0.49,79,tt79
11,tt11,Similar to,0.13,80,tt80
11,tt11,Similar to,0.06,81,tt81
11,tt11,Similar to,0.79,82,tt82
11,tt11,Similar to,0.58,83,tt83
11,tt11,Similar to,0.48,84,tt84
11,tt11,Similar to,0.29,85,tt85
11,tt11,Similar to,0.36,86,tt86
11,tt11,Similar to,0.69,87,tt87
11,tt11,Similar to,0.71,88,tt88
11,tt11,Similar to,0.31,89,tt89
11,tt11,Similar to,0.61,90,tt90
11,tt11,Similar to,0.6,91,tt91
11,tt11,Similar to,0.45,92,tt92
11,tt11,Similar to,0.57,93,tt93
11,tt11,Similar to,0.26,94,tt94
11,tt11,Similar to,0.05,95,tt95
11,tt11,Similar to,0.56,96,tt96
11,tt11,Similar to,0.6,97,tt97
11,tt11,Similar to,0.41,98,tt98
11,tt11,Similar to,0.23,99,tt99
11,tt11,Similar to,1,100,tt100
12,tt12,Similar to,0.26,13,tt13
12,tt12,Similar to,0.94,14,tt14
12,tt12,Similar to,0.33,15,tt15
12,tt12,Similar to,0.98,16,tt16
12,tt12,Similar to,0.06,17,tt17
12,tt12,Similar to,0.71,18,tt18
12,tt12,Similar to,0.13,19,tt19
12,tt12,Similar to,0.74,20,tt20
12,tt12,Similar to,0.59,21,tt21
12,tt12,Similar to,0.79,22,tt22
12,tt12,Similar to,0.72,23,tt23
12,tt12,Similar to,0.32,24,tt24
12,tt12,Similar to,0.24,25,tt25
12,tt12,Similar to,0.4,26,tt26
12,tt12,Similar to,0.65,27,tt27
12,tt12,Similar to,0.59,28,tt28
12,tt12,Similar to,0.76,29,tt29
12,tt12,Similar to,0.44,30,tt30
12,tt12,Similar to,0.31,31,tt31
12,tt12,Similar to,0.44,32,tt32
12,tt12,Similar to,0.73,33,tt33
12,tt12,Similar to,0.21,34,tt34
12,tt12,Similar to,0.53,35,tt35
12,tt12,Similar to,0.95,36,tt36
12,tt12,Similar to,0.42,37,tt37
12,tt12,Similar to,0.64,38,tt38
12,tt12,Similar to,0.33,39,tt39
12,tt12,Similar to,0.24,40,tt40
12,tt12,Similar to,0.74,41,tt41
12,tt12,Similar to,0.13,42,tt42
12,tt12,Similar to,0.24,43,tt43
12,tt12,Similar to,0.91,44,tt44
12,tt12,Similar to,0.85,45,tt45
12,tt12,Similar to,0.78,46,tt46
12,tt12,Similar to,0.44,47,tt47
12,tt12,Similar to,0.12,48,tt48
12,tt12,Similar to,0.75,49,tt49
12,tt12,Similar to,0.48,50,tt50
12,tt12,Similar to,0.26,51,tt51
12,tt12,Similar to,0.73,52,tt52
12,tt12,Similar to,0.67,53,tt53
12,tt12,Similar to,0.29,54,tt54
12,tt12,Similar to,0.05,55,tt55
12,tt12,Similar to,0.61,56,tt56
12,tt12,Similar to,0.4,57,tt57
12,tt12,Similar to,0.6,58,tt58
12,tt12,Similar to,0.98,59,tt59
12,tt12,Similar to,0.03,60,tt60
12,tt12,Similar to,0.46,61,tt61
12,tt12,Similar to,0.8,62,tt62
12,tt12,Similar to,0.31,63,tt63
12,tt12,Similar to,0.45,64,tt64
12,tt12,Similar to,0.55,65,tt65
12,tt12,Similar to,0.72,66,tt66
12,tt12,Similar to,0.85,67,tt67
12,tt12,Similar to,0.04,68,tt68
12,tt12,Similar to,0.3,69,tt69
12,tt12,Similar to,0.94,70,tt70
12,tt12,Similar to,0.6,71,tt71
12,tt12,Similar to,0.7,72,tt72
12,tt12,Similar to,0.36,73,tt73
12,tt12,Similar to,0.94,74,tt74
12,tt12,Similar to,0.6,75,tt75
12,tt12,Similar to,0.82,76,tt76
12,tt12,Similar to,0.47,77,tt77
12,tt12,Similar to,0.57,78,tt78
12,tt12,Similar to,0.07,79,tt79
12,tt12,Similar to,0.93,80,tt80
12,tt12,Similar to,0.27,81,tt81
12,tt12,Similar to,0.75,82,tt82
12,tt12,Similar to,0.45,83,tt83
12,tt12,Similar to,0.09,84,tt84
12,tt12,Similar to,0.69,85,tt85
12,tt12,Similar to,0.11,86,tt86
12,tt12,Similar to,0.36,87,tt87
12,tt12,Similar to,0.06,88,tt88
12,tt12,Similar to,0.99,89,tt89
12,tt12,Similar to,0.89,90,tt90
12,tt12,Similar to,0.75,91,tt91
12,tt12,Similar to,0.86,92,tt92
12,tt12,Similar to,0.5,93,tt93
12,tt12,Similar to,0.18,94,tt94
12,tt12,Similar to,0.26,95,tt95
12,tt12,Similar to,0.78,96,tt96
12,tt12,Similar to,0.35,97,tt97
12,tt12,Similar to,0.96,98,tt98
12,tt12,Similar to,0.92,99,tt99
12,tt12,Similar to,0.75,100,tt100
13,tt13,Similar to,0.68,14,tt14
13,tt13,Similar to,1,15,tt15
13,tt13,Similar to,0.02,16,tt16
13,tt13,Similar to,0.23,17,tt17
13,tt13,Similar to,0.6,18,tt18
13,tt13,Similar to,0.65,19,tt19
13,tt13,Similar to,0.29,20,tt20
13,tt13,Similar to,0.6,21,tt21
13,tt13,Similar to,0.89,22,tt22
13,tt13,Similar to,0.26,23,tt23
13,tt13,Similar to,0.4,24,tt24
13,tt13,Similar to,0.5,25,tt25
13,tt13,Similar to,0.16,26,tt26
13,tt13,Similar to,0.92,27,tt27
13,tt13,Similar to,1,28,tt28
13,tt13,Similar to,0.79,29,tt29
13,tt13,Similar to,0.26,30,tt30
13,tt13,Similar to,0.72,31,tt31
13,tt13,Similar to,0.8,32,tt32
13,tt13,Similar to,0.69,33,tt33
13,tt13,Similar to,0.33,34,tt34
13,tt13,Similar to,0,35,tt35
13,tt13,Similar to,0.11,36,tt36
13,tt13,Similar to,0.83,37,tt37
13,tt13,Similar to,0.85,38,tt38
13,tt13,Similar to,0.72,39,tt39
13,tt13,Similar to,0.46,40,tt40
13,tt13,Similar to,0.29,41,tt41
13,tt13,Similar to,0.82,42,tt42
13,tt13,Similar to,0.23,43,tt43
13,tt13,Similar to,0.66,44,tt44
13,tt13,Similar to,0.56,45,tt45
13,tt13,Similar to,0.99,46,tt46
13,tt13,Similar to,0.16,47,tt47
13,tt13,Similar to,0.18,48,tt48
13,tt13,Similar to,0.42,49,tt49
13,tt13,Similar to,0.61,50,tt50
13,tt13,Similar to,0.07,51,tt51
13,tt13,Similar to,0.21,52,tt52
13,tt13,Similar to,0.38,53,tt53
13,tt13,Similar to,0.54,54,tt54
13,tt13,Similar to,0.72,55,tt55
13,tt13,Similar to,0.03,56,tt56
13,tt13,Similar to,0.22,57,tt57
13,tt13,Similar to,0.31,58,tt58
13,tt13,Similar to,0.59,59,tt59
13,tt13,Similar to,1,60,tt60
13,tt13,Similar to,0.9,61,tt61
13,tt13,Similar to,0.21,62,tt62
13,tt13,Similar to,0.76,63,tt63
13,tt13,Similar to,0.53,64,tt64
13,tt13,Similar to,0.46,65,tt65
13,tt13,Similar to,0.57,66,tt66
13,tt13,Similar to,0.56,67,tt67
13,tt13,Similar to,0.14,68,tt68
13,tt13,Similar to,0.66,69,tt69
13,tt13,Similar to,0.24,70,tt70
13,tt13,Similar to,0.9,71,tt71
13,tt13,Similar to,0.69,72,tt72
13,tt13,Similar to,0.8,73,tt73
13,tt13,Similar to,0.16,74,tt74
13,tt13,Similar to,0.96,75,tt75
13,tt13,Similar to,0.13,76,tt76
13,tt13,Similar to,0.96,77,tt77
13,tt13,Similar to,0.45,78,tt78
13,tt13,Similar to,0.18,79,tt79
13,tt13,Similar to,0.4,80,tt80
13,tt13,Similar to,0.28,81,tt81
13,tt13,Similar to,0.83,82,tt82
13,tt13,Similar to,0.21,83,tt83
13,tt13,Similar to,0.03,84,tt84
13,tt13,Similar to,0.31,85,tt85
13,tt13,Similar to,0.36,86,tt86
13,tt13,Similar to,0.76,87,tt87
13,tt13,Similar to,0.63,88,tt88
13,tt13,Similar to,0.63,89,tt89
13,tt13,Similar to,0.97,90,tt90
13,tt13,Similar to,0.37,91,tt91
13,tt13,Similar to,0.64,92,tt92
13,tt13,Similar to,0.84,93,tt93
13,tt13,Similar to,0.89,94,tt94
13,tt13,Similar to,0.81,95,tt95
13,tt13,Similar to,0.58,96,tt96
13,tt13,Similar to,0.94,97,tt97
13,tt13,Similar to,0.29,98,tt98
13,tt13,Similar to,0.81,99,tt99
13,tt13,Similar to,0.94,100,tt100
14,tt14,Similar to,0.44,15,tt15
14,tt14,Similar to,0.11,16,tt16
14,tt14,Similar to,0.09,17,tt17
14,tt14,Similar to,0.28,18,tt18
14,tt14,Similar to,0.08,19,tt19
14,tt14,Similar to,0.47,20,tt20
14,tt14,Similar to,0.68,21,tt21
14,tt14,Similar to,0.78,22,tt22
14,tt14,Similar to,0.14,23,tt23
14,tt14,Similar to,0.26,24,tt24
14,tt14,Similar to,0.46,25,tt25
14,tt14,Similar to,0.83,26,tt26
14,tt14,Similar to,0.21,27,tt27
14,tt14,Similar to,0.69,28,tt28
14,tt14,Similar to,0.09,29,tt29
14,tt14,Similar to,0.05,30,tt30
14,tt14,Similar to,0.15,31,tt31
14,tt14,Similar to,0.95,32,tt32
14,tt14,Similar to,0.89,33,tt33
14,tt14,Similar to,0.85,34,tt34
14,tt14,Similar to,0.48,35,tt35
14,tt14,Similar to,0.37,36,tt36
14,tt14,Similar to,0.45,37,tt37
14,tt14,Similar to,0.64,38,tt38
14,tt14,Similar to,0.97,39,tt39
14,tt14,Similar to,0.67,40,tt40
14,tt14,Similar to,0.43,41,tt41
14,tt14,Similar to,0.82,42,tt42
14,tt14,Similar to,0.47,43,tt43
14,tt14,Similar to,0.02,44,tt44
14,tt14,Similar to,0.64,45,tt45
14,tt14,Similar to,0.55,46,tt46
14,tt14,Similar to,0.77,47,tt47
14,tt14,Similar to,0.28,48,tt48
14,tt14,Similar to,0.5,49,tt49
14,tt14,Similar to,0.09,50,tt50
14,tt14,Similar to,0.46,51,tt51
14,tt14,Similar to,0.99,52,tt52
14,tt14,Similar to,0.79,53,tt53
14,tt14,Similar to,0.14,54,tt54
14,tt14,Similar to,0.58,55,tt55
14,tt14,Similar to,0.64,56,tt56
14,tt14,Similar to,0.98,57,tt57
14,tt14,Similar to,0.45,58,tt58
14,tt14,Similar to,0.81,59,tt59
14,tt14,Similar to,0.06,60,tt60
14,tt14,Similar to,0.3,61,tt61
14,tt14,Similar to,0.75,62,tt62
14,tt14,Similar to,0.47,63,tt63
14,tt14,Similar to,0.75,64,tt64
14,tt14,Similar to,0.96,65,tt65
14,tt14,Similar to,0.51,66,tt66
14,tt14,Similar to,0.51,67,tt67
14,tt14,Similar to,0.18,68,tt68
14,tt14,Similar to,0.42,69,tt69
14,tt14,Similar to,0.38,70,tt70
14,tt14,Similar to,0.34,71,tt71
14,tt14,Similar to,0.69,72,tt72
14,tt14,Similar to,0.32,73,tt73
14,tt14,Similar to,0.56,74,tt74
14,tt14,Similar to,0.9,75,tt75
14,tt14,Similar to,0.66,76,tt76
14,tt14,Similar to,0.3,77,tt77
14,tt14,Similar to,0.2,78,tt78
14,tt14,Similar to,0.48,79,tt79
14,tt14,Similar to,0.38,80,tt80
14,tt14,Similar to,0.34,81,tt81
14,tt14,Similar to,0.32,82,tt82
14,tt14,Similar to,0.99,83,tt83
14,tt14,Similar to,0.35,84,tt84
14,tt14,Similar to,0.47,85,tt85
14,tt14,Similar to,0.96,86,tt86
14,tt14,Similar to,0.62,87,tt87
14,tt14,Similar to,0.36,88,tt88
14,tt14,Similar to,0.35,89,tt89
14,tt14,Similar to,0.56,90,tt90
14,tt14,Similar to,0.85,91,tt91
14,tt14,Similar to,0.22,92,tt92
14,tt14,Similar to,0.87,93,tt93
14,tt14,Similar to,0.24,94,tt94
14,tt14,Similar to,0,95,tt95
14,tt14,Similar to,0.18,96,tt96
14,tt14,Similar to,0.64,97,tt97
14,tt14,Similar to,0.04,98,tt98
14,tt14,Similar to,0.01,99,tt99
14,tt14,Similar to,0.83,100,tt100
15,tt15,Similar to,0.27,16,tt16
15,tt15,Similar to,0.82,17,tt17
15,tt15,Similar to,0.86,18,tt18
15,tt15,Similar to,0.88,19,tt19
15,tt15,Similar to,0.43,20,tt20
15,tt15,Similar to,0.49,21,tt21
15,tt15,Similar to,0.03,22,tt22
15,tt15,Similar to,0.95,23,tt23
15,tt15,Similar to,0.51,24,tt24
15,tt15,Similar to,0.01,25,tt25
15,tt15,Similar to,0.27,26,tt26
15,tt15,Similar to,0.1,27,tt27
15,tt15,Similar to,0.11,28,tt28
15,tt15,Similar to,0.03,29,tt29
15,tt15,Similar to,0.39,30,tt30
15,tt15,Similar to,0.05,31,tt31
15,tt15,Similar to,0.67,32,tt32
15,tt15,Similar to,0.9,33,tt33
15,tt15,Similar to,0.17,34,tt34
15,tt15,Similar to,0.22,35,tt35
15,tt15,Similar to,0.16,36,tt36
15,tt15,Similar to,0.71,37,tt37
15,tt15,Similar to,0.5,38,tt38
15,tt15,Similar to,0.44,39,tt39
15,tt15,Similar to,0.54,40,tt40
15,tt15,Similar to,0.42,41,tt41
15,tt15,Similar to,0.56,42,tt42
15,tt15,Similar to,0.17,43,tt43
15,tt15,Similar to,0.24,44,tt44
15,tt15,Similar to,0.18,45,tt45
15,tt15,Similar to,0.35,46,tt46
15,tt15,Similar to,0.39,47,tt47
15,tt15,Similar to,0.71,48,tt48
15,tt15,Similar to,0.65,49,tt49
15,tt15,Similar to,0.92,50,tt50
15,tt15,Similar to,0.77,51,tt51
